X,Y,LONGITUDE,LATITUDE,AR_LIVRE,BOUGUER,h
5044528.98987113,6735777.08934685,-53.5408,-29.495,-10.66662156,-31.20653907,192.68
5050288.62407032,6735664.2133273,-53.4814,-29.4958,-23.68968277,-31.71360797,80.73
5103823.0818309,6736185.54922038,-52.9294,-29.4878,37.02458402,-29.97600824,607.27
5089187.19770325,6753249.61414285,-53.0817,-29.335,9.510169332,-32.15045262,380.96
5013949.2910793,6755564.18036338,-53.8564,-29.3172,13.45463354,-36.53077125,456.28
5019021.93739031,6756720.65994895,-53.8042,-29.3067,17.96920451,-34.21245494,475.87
5023777.83920814,6759238.90005177,-53.7553,-29.2839,22.839307,-32.24876717,501.81
5091151.66684064,6758410.98684175,-53.0619,-29.2883,-2.460480083,-31.28129284,266.21
5412360.95393401,6752311.64765324,-49.75562222,-29.27922222,-51.86489298,-52.28406827,5.71
5042843.37761716,6761920.93978122,-53.5592,-29.2592,16.12608769,-34.09576032,458
5072542.05646622,6761194.14043583,-53.2536,-29.2644,1.033985908,-30.96511881,294.7
5045546.96839033,6762309.49029128,-53.5314,-29.2556,11.89047141,-37.56138566,451.08
5074352.93420793,6761670.20441322,-53.235,-29.26,-9.955309145,-30.91869059,196.06
5056968.58615103,6762446.55230759,-53.4139,-29.2539,12.8939257,-34.08152818,428.81
5059837.10755378,6762653.54446035,-53.3844,-29.2519,12.68774756,-33.4461522,421.24
5068983.03982379,6762502.09277619,-53.2903,-29.2528,8.952437345,-29.87442217,355.77
5035645.72116498,6763364.51185525,-53.6333,-29.2464,20.29360391,-34.16547394,496
5053919.01196931,6762982.36106909,-53.4453,-29.2492,11.1498687,-35.17417177,423.03
5026489.94476642,6763854.99668354,-53.7275,-29.2422,23.22973537,-35.51049751,534.38
5050626.03671406,6763496.26257896,-53.4792,-29.2447,11.42996882,-36.18301079,434.59
5038641.44419147,6763875.71057386,-53.6025,-29.2417,16.21735034,-35.27174599,469.4
5075761.92995526,6763079.8053516,-53.2206,-29.2472,4.855572314,-28.607735,307.75
5062943.36695108,6763645.5199418,-53.3525,-29.2428,10.62115018,-33.79814056,405.85
5090752.13216733,6763147.68686306,-53.0664,-29.2456,6.638468964,-29.80244442,334.32
5041209.81132649,6764420.93084561,-53.5761,-29.2367,17.18191891,-34.00600091,466.66
5065921.73610012,6764282.68854166,-53.3219,-29.2369,11.4917632,-31.25778425,390.87
5077885.10877305,6765094.0620081,-53.1989,-29.2289,10.46019424,-27.74930533,350.15
5087056.93257512,6766812.48807419,-53.1047,-29.2128,-9.527781951,-28.08822736,174.53
5079494.59012951,6767244.54883464,-53.1825,-29.2094,12.88917671,-27.64831614,370.95
5412287.93348907,6759226.89841625,-49.75894444,-29.21702778,-56.68102465,-57.22906705,6.91
5083192.19382924,6770233.3618997,-53.1447,-29.1822,15.51655944,-28.81680109,404.87
5416688.79899744,6768002.19720135,-49.717,-29.13663889,-56.14866566,-58.24611313,20.66
5424945.23093279,6770144.12505967,-49.63302778,-29.11463889,-55.18490006,-56.42447882,12.67
5013952.67171209,6782221.04491035,-53.8567,-29.0767,18.36639094,-33.03898021,468.89
5018882.72968582,6784220.15302609,-53.8061,-29.0586,10.99068592,-34.09847851,412.36
5024045.15756565,6784731.44481088,-53.7531,-29.0539,7.973363,-35.60052834,398.73
5029627.32157383,6785427.77132558,-53.6958,-29.0475,9.19589095,-36.48599688,417.48
5402381.32395,6778595.29152927,-49.86775278,-29.04592222,-48.15536064,-60.32091143,111.71
5428389.20135562,6779789.11360515,-49.60136111,-29.02672222,-61.4679258,-63.90206049,23.29
5034371.18259966,6792197.85828647,-53.6473,-28.9863,7.557693269,-38.74562127,422.93
5413052.3475271,6783320.37014467,-49.76,-29,-56.3515705,-61.26236278,46.23
5413052.3475271,6783320.37014467,-49.76,-29,-56.2515705,-61.16236277,46.23
5413052.3475271,6783320.37014467,-49.76,-29,-56.3515705,-61.26236277,46.23
